HIVE,DATETIME,OUT,IN,LATERAL,TOTAL,MEAN_WEIGHT
4_17,2021-06-04_07-00,25,29,0,54,40.6105707
4_17,2021-06-04_07-15,86,45,15,146,40.59449756
4_17,2021-06-04_07-30,267,142,19,428,40.57508454
4_17,2021-06-04_07-45,180,158,24,362,40.56736108
4_17,2021-06-04_08-00,128,108,3,239,40.55191417
4_17,2021-06-04_08-15,224,238,24,486,40.53208366
4_17,2021-06-04_08-30,380,342,40,762,40.51308813
4_17,2021-06-04_08-45,80,77,11,168,40.46987851
4_17,2021-06-04_09-00,70,79,12,161,40.36842984
4_17,2021-06-04_09-15,194,195,32,421,40.32104538
4_17,2021-06-04_09-30,149,159,26,334,40.3087296
4_17,2021-06-04_09-45,269,325,47,641,40.32522022
4_17,2021-06-04_10-00,357,383,60,800,40.35047802
4_17,2021-06-04_13-45,305,170,21,496,40.89966601
4_17,2021-06-04_14-00,237,244,37,518,40.88609777
4_17,2021-06-04_14-15,319,271,35,625,40.87837432
4_17,2021-06-04_14-30,361,267,32,660,40.89131633
4_17,2021-06-04_14-45,315,296,43,654,40.89131633
4_17,2021-06-04_15-00,234,272,9,515,40.89903979
4_17,2021-06-04_15-15,412,382,20,814,40.89319501
4_17,2021-06-04_15-30,177,176,33,386,40.880253
4_17,2021-06-04_15-45,228,230,14,472,40.8614662
4_17,2021-06-04_16-00,248,206,34,488,40.85457771
4_17,2021-06-04_16-15,172,131,11,314,40.88150545
4_17,2021-06-04_16-30,194,191,16,401,40.91511293
4_17,2021-06-04_16-45,155,108,24,287,40.92596752
4_17,2021-06-04_17-00,39,30,4,73,40.93222978
4_17,2021-06-04_17-15,66,85,5,156,40.91970526
4_17,2021-06-04_17-30,98,94,13,205,40.92596752
4_17,2021-06-04_17-45,309,263,53,625,40.89966601
4_17,2021-06-04_18-00,200,166,12,378,40.86668476
4_17,2021-06-04_18-15,269,259,51,579,40.86668476
4_17,2021-06-04_18-30,258,222,39,519,40.89507369
4_17,2021-06-04_18-45,235,221,41,497,40.88860268
4_17,2021-06-06_07-00,1,14,0,15,40.73225483
4_17,2021-06-06_07-45,137,111,3,251,40.66837974
4_17,2021-06-06_08-00,204,280,12,496,40.62537887
4_17,2021-06-06_08-15,239,255,40,534,40.56192126
4_17,2021-06-06_08-30,366,332,42,740,40.50013359
4_17,2021-06-06_08-45,99,136,31,266,40.43458857
4_17,2021-06-06_09-00,55,67,8,130,40.37113096
4_17,2021-06-06_09-15,129,140,21,290,40.34608191
4_17,2021-06-06_09-30,110,153,18,281,40.37050474
4_17,2021-06-06_09-45,240,245,43,528,40.38824782
4_17,2021-06-06_10-00,367,335,50,752,40.43542354
4_17,2021-06-06_10-15,584,550,80,1214,40.449618
4_17,2021-06-06_10-30,724,648,122,1494,40.48468668
4_17,2021-06-06_10-45,808,691,122,1621,40.51411932
4_17,2021-06-06_11-00,811,748,130,1689,40.5264351
4_17,2021-06-06_11-15,336,294,52,682,40.55357158
4_17,2021-06-06_11-30,156,164,23,343,40.58070805
4_17,2021-06-06_11-45,234,186,30,450,40.61201937
4_17,2021-06-06_12-00,213,222,20,455,40.63122365
4_17,2021-06-06_12-15,267,162,20,449,40.63769465
4_17,2021-06-06_12-30,227,240,24,491,40.65063666
4_17,2021-06-06_12-45,40,64,11,115,40.66336993
4_17,2021-06-06_13-00,177,179,18,374,40.68236547
4_17,2021-06-06_13-15,107,133,20,260,40.68821025
4_17,2021-06-06_16-30,190,147,11,348,40.68528786
4_17,2021-06-06_16-45,70,73,11,154,40.73872584
4_17,2021-06-06_17-00,78,65,7,150,40.71409427
4_17,2021-06-06_17-15,131,108,21,260,40.72056527
4_17,2021-06-06_17-30,50,69,4,123,40.7211915
4_17,2021-06-06_17-45,104,138,18,260,40.70511836
4_17,2021-06-06_18-00,168,141,13,322,40.69468125
4_17,2021-06-06_18-15,204,182,18,404,40.69468125
4_17,2021-06-06_18-30,176,213,41,430,40.6959337
4_17,2021-06-06_18-45,241,223,39,503,40.68236547
4_17,2021-06-06_19-00,329,335,53,717,40.62350019
4_17,2021-06-06_19-15,240,224,24,488,40.58655283
4_17,2021-06-06_19-30,190,157,16,363,40.60617459
4_17,2021-06-06_19-45,222,119,18,359,40.63372855
4_17,2021-06-06_20-00,129,88,7,224,40.65502025
4_17,2021-06-07_07-00,59,30,3,92,40.6642049
4_17,2021-06-07_07-15,14,25,0,39,40.65063666
4_17,2021-06-07_07-30,34,39,2,75,40.64416566
4_17,2021-06-07_07-45,81,68,3,152,40.61452428
4_17,2021-06-07_08-00,129,149,22,300,40.57903812
4_17,2021-06-07_08-15,184,197,51,432,40.53144491
4_17,2021-06-07_08-30,174,216,15,405,40.47070096
4_17,2021-06-07_08-45,60,99,9,168,40.37739323
4_17,2021-06-07_09-00,68,52,13,133,40.32562518
4_17,2021-06-07_09-15,202,190,33,425,40.24965558
4_17,2021-06-07_09-30,224,215,40,479,40.18598923
4_17,2021-06-07_09-45,391,429,74,894,40.21917923
4_17,2021-06-07_10-00,662,700,85,1447,40.23149501
4_17,2021-06-07_10-15,757,734,123,1614,40.27992318
4_17,2021-06-07_14-00,308,230,38,576,40.51538429
4_17,2021-06-07_14-15,247,177,24,448,40.49075272
4_17,2021-06-07_14-30,196,205,21,422,40.52770008
4_17,2021-06-07_14-45,302,185,21,508,40.52770008
4_17,2021-06-07_15-00,414,377,50,841,40.52060285
4_17,2021-06-07_15-15,400,405,50,855,40.52832631
4_17,2021-06-07_15-30,211,188,27,426,40.54252077
4_17,2021-06-07_15-45,246,230,22,498,40.54252077
4_17,2021-06-07_16-00,148,117,15,280,40.54836555
4_17,2021-06-07_16-15,96,73,9,178,40.56130756
4_17,2021-06-07_16-30,141,154,24,319,40.56130756
4_17,2021-06-07_16-45,111,145,32,288,40.54836555
4_17,2021-06-07_17-00,67,55,5,127,40.543147
4_17,2021-06-07_17-15,116,111,11,238,40.52957876
4_17,2021-06-07_17-30,149,144,19,312,40.50828706
4_17,2021-06-07_17-45,112,116,25,253,40.5218553
4_17,2021-06-07_18-00,188,203,2,393,40.53667599
4_17,2021-06-07_18-15,224,204,40,468,40.51601052
4_17,2021-06-07_18-30,211,182,28,421,40.49179643
4_17,2021-06-07_18-45,181,171,18,370,40.51663675
4_17,2021-06-07_19-00,232,232,30,494,40.48449046
4_17,2021-06-07_19-15,316,276,56,648,40.46674738
4_17,2021-06-07_19-30,255,222,31,508,40.48803908
4_17,2021-06-07_19-45,57,68,11,136,40.51329687
4_17,2021-06-07_20-00,140,112,46,298,40.54231203
4_17,2021-06-07_20-15,74,95,21,190,40.58948775
4_17,2021-06-07_20-30,195,101,21,317,40.69072768
4_17,2021-06-08_07-00,0,3,0,3,40.60326473
4_17,2021-06-08_07-15,56,58,31,145,40.58468668
4_17,2021-06-08_07-30,58,75,19,152,40.5709097
4_17,2021-06-08_12-00,102,69,12,183,40.49618002
4_17,2021-06-08_12-15,146,132,44,322,40.47572329
